"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест создания заказа с разными цветами","303","Создание заказа с разными цветами","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа с пустыми обязательными полями","1309","Создание заказа с пустыми обязательными полями","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа без указания цвета","292","test_create_order_without_color","tests","2025-11-19","passed","2025-11-19","","test_order_creation","",""
"Логин с неверным паролем возвращает ошибку 404","398","Логин с неверным паролем","tests","2025-11-23","passed","2025-11-23","","test_courier_login","",""
"Создание курьера с пустым логином возвращает ошибку","297","Создание курьера с пустым логином","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
"Создание курьера без пароля возвращает ошибку","313","Создание курьера без пароля","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
"Получение списка заказов с лимитом","7142","test_orders_list_with_limit","tests","2025-11-23","passed","2025-11-23","TestOrderList","test_order_list","",""
"Создание заказа без имени","359","Создание заказа без имени","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Логин с неверным логином возвращает ошибку 404","569","Логин с неверным логином","tests","2025-11-23","passed","2025-11-23","","test_courier_login","",""
"Параметризованный тест создания заказа с разными цветами","339","Создание заказа с разными цветами","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа без станции метро","308","Создание заказа без станции метро","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа без адреса","291","Создание заказа без адреса","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа с обоими цветами","270","test_create_order_with_both_colors","tests","2025-11-19","passed","2025-11-19","","test_order_creation","",""
"Создание курьера с существующим логином возвращает ошибку","590","Создание курьера с дублирующимся логином","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
"Создание заказа без времени аренды","299","Создание заказа без времени аренды","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа с черным цветом","302","test_create_order_with_black_color","tests","2025-11-19","passed","2025-11-19","","test_order_creation","",""
"Создание курьера без логина возвращает ошибку","778","Создание курьера без логина","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
"Создание курьера без имени - API принимает (201), хотя по документации должна быть ошибка","374","test_creation_without_first_name","tests","2025-11-19","passed","2025-11-19","","test_courier_creation","",""
"Создание заказа без даты доставки","298","Создание заказа без даты доставки","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Успешное создание курьера с использованием хелпера","688","Успешное создание курьера","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
"Логин без пароля возвращает ошибку 504","60403","Логин без пароля","tests","2025-11-23","passed","2025-11-23","","test_courier_login","",""
"Параметризованный тест создания заказа с разными цветами","322","Создание заказа с разными цветами","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа без телефона","306","Создание заказа без телефона","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Параметризованный тест создания заказа с разными цветами","321","Создание заказа с разными цветами","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание заказа без фамилии","511","Создание заказа без фамилии","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Успешное создание курьера без имени (firstName не обязателен)","570","Успешное создание курьера без имени","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
"Создание заказа с серым цветом","298","test_create_order_with_grey_color","tests","2025-11-19","passed","2025-11-19","","test_order_creation","",""
"Создание заказа с неверной датой доставки возвращает ошибку","393","Создание заказа с неверной датой доставки","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Получение списка заказов","9077","test_get_orders_list","tests","2025-11-23","passed","2025-11-23","TestOrderList","test_order_list","",""
"Создание заказа с неверным форматом телефона","326","Создание заказа с неверным форматом телефона","tests","2025-11-23","passed","2025-11-23","","test_order_creation","",""
"Создание курьера с пустым паролем возвращает ошибку","404","Создание курьера с пустым паролем","tests","2025-11-23","passed","2025-11-23","","test_courier_creation","",""
